"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HEXA",1.53659108216997e-07,0.356629079320494,0.307,0.212,0.00522656090689295,"MP1","HEXA"
"CTNND1",1.56775303521232e-07,0.260979221293451,0.455,0.338,0.00533255517397119,"MP1","CTNND1"
"ARL4A",1.56795442885706e-07,1.09456072435169,0.053,0.019,0.0053332401943144,"MP1","ARL4A"
"STXBP3",1.57754262850678e-07,0.257053242696355,0.254,0.163,0.00536585349660297,"MP1","STXBP3"
"CHFR",1.60900303346727e-07,0.338389627220484,0.267,0.178,0.00547286291803557,"MP1","CHFR"
"MARS",1.61284249629143e-07,0.759957657306851,0.193,0.12,0.00548592246688566,"MP1","MARS"
"PDSS1",1.65648800275944e-07,0.687011873913145,0.095,0.046,0.00563437829258594,"MP1","PDSS1"
"KDM3B",1.66372829403161e-07,0.415765581938817,0.365,0.262,0.00565900541931912,"MP1","KDM3B"
"UPF3B",1.66717448713742e-07,0.394471562814537,0.136,0.075,0.00567072730054922,"MP1","UPF3B"
"GNB1",1.69752121790239e-07,0.373307421105127,0.531,0.42,0.00577394867057319,"MP1","GNB1"
"WIPI2",1.69826082519154e-07,0.383746790286351,0.192,0.116,0.00577646437080649,"MP1","WIPI2"
"CYSLTR2",1.71963896601745e-07,1.12860442438836,0.077,0.034,0.00584917997901174,"MP1","CYSLTR2"
"GAS7",1.73608593617359e-07,0.227691576117877,0.554,0.428,0.00590512270330086,"MP1","GAS7"
"MYOF",1.77568667624179e-07,0.581691760103298,0.212,0.136,0.00603982066056881,"MP1","MYOF"
"CCDC170",1.77966450432746e-07,0.357562404504371,0.168,0.098,0.00605335084501941,"MP1","CCDC170"
"ZNF562",1.81179123272383e-07,0.564394838292485,0.226,0.146,0.00616262669898683,"MP1","ZNF562"
"CHMP1B",1.83790159447122e-07,1.41393280669108,0.05,0.018,0.00625143848343439,"MP1","CHMP1B"
"LRCH4",1.84134000743113e-07,1.04532017716717,0.098,0.049,0.00626313390127624,"MP1","LRCH4"
"UBA52",1.85189813541187e-07,0.454820121601271,0.145,0.082,0.00629904631778995,"MP1","UBA52"
"RPLP2",1.87772568774947e-07,0.152100128107552,0.211,0.13,0.00638689615431105,"MP1","RPLP2"
