"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEH1L",3.83382282545587e-34,0.838331106873964,0.124,0.044,1.30403649585056e-29,"Peds_Ctrl","SEH1L"
"RCC1L",3.8400072206561e-34,0.622722709259098,0.159,0.065,1.30614005603397e-29,"Peds_Ctrl","RCC1L"
"MIPEP",3.85077065418061e-34,0.552723702770872,0.296,0.17,1.30980113031299e-29,"Peds_Ctrl","MIPEP"
"SNHG8",3.9650124384948e-34,1.2370677466818,0.147,0.061,1.34865933082962e-29,"Peds_Ctrl","SNHG8"
"EIF4A1",3.97827613429918e-34,0.66524415628068,0.167,0.072,1.35317084432052e-29,"Peds_Ctrl","EIF4A1"
"AC093157.1",4.33927390831422e-34,0.719466529847671,0.253,0.139,1.475960627174e-29,"Peds_Ctrl","AC093157.1"
"AAAS",4.34806966560447e-34,1.14373776130447,0.159,0.07,1.47895241605871e-29,"Peds_Ctrl","AAAS"
"PYGM",4.46638746406667e-34,1.71376315911868,0.076,0.016,1.51919703202764e-29,"Peds_Ctrl","PYGM"
"LINC01446",4.58856537740989e-34,2.82983797473007,0.059,0.007,1.5607546274722e-29,"Peds_Ctrl","LINC01446"
"ALKBH5",4.61427830552151e-34,0.582681746218634,0.141,0.054,1.56950062284009e-29,"Peds_Ctrl","ALKBH5"
"PRKRA",4.94688448889006e-34,0.649450918008334,0.199,0.093,1.68263329005107e-29,"Peds_Ctrl","PRKRA"
"UGT2B4",4.98782900835876e-34,0.505960272701289,0.219,0.11,1.69656015890315e-29,"Peds_Ctrl","UGT2B4"
"ERVK13-1",5.13721766537047e-34,0.606142741365086,0.256,0.136,1.74737321669911e-29,"Peds_Ctrl","ERVK13-1"
"SNU13",5.14877898350412e-34,0.551138426969624,0.181,0.082,1.75130568344909e-29,"Peds_Ctrl","SNU13"
"CAPN10",5.30291956048423e-34,1.01732964371333,0.122,0.043,1.80373505930311e-29,"Peds_Ctrl","CAPN10"
"PMS2",5.70780036248017e-34,1.05014882893262,0.127,0.046,1.941451215294e-29,"Peds_Ctrl","PMS2"
"WASHC5",5.78838231494896e-34,0.638606707048437,0.196,0.092,1.96886036060674e-29,"Peds_Ctrl","WASHC5"
"ATP6V0A2",5.79296433182429e-34,0.511676374484588,0.195,0.09,1.97041888782671e-29,"Peds_Ctrl","ATP6V0A2"
"API5",5.830431156145e-34,0.579343999001563,0.218,0.108,1.98316285345116e-29,"Peds_Ctrl","API5"
"VAC14",6.24145205362434e-34,0.908702911102714,0.134,0.05,2.12296750151978e-29,"Peds_Ctrl","VAC14"
"SLC9A1",6.51760604452047e-34,0.694107795931846,0.155,0.064,2.21689851998319e-29,"Peds_Ctrl","SLC9A1"
"UNC5B",6.62217170943046e-34,1.25979569454643,0.107,0.034,2.25246548524568e-29,"Peds_Ctrl","UNC5B"
"GPRC5B",6.79292828936438e-34,0.617228947541338,0.15,0.06,2.3105466283444e-29,"Peds_Ctrl","GPRC5B"
"TUBB",7.36784169739352e-34,1.23077813103092,0.107,0.034,2.50609767495143e-29,"Peds_Ctrl","TUBB"
"NSUN5",7.42420751460225e-34,1.26035009026619,0.096,0.027,2.52526994401681e-29,"Peds_Ctrl","NSUN5"
"ACAD10",7.83421096627699e-34,0.500266632787128,0.314,0.182,2.66472851806946e-29,"Peds_Ctrl","ACAD10"
"NAB1",7.86355478592587e-34,0.824169137144208,0.113,0.037,2.67470952488483e-29,"Peds_Ctrl","NAB1"
