"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PDLIM11",1.48649018334311e-12,0.448880119939029,0.507,0.426,5.05614770962325e-08,"EC3","PDLIM1"
"SETD7",1.48795304057485e-12,0.521635391167002,0.207,0.138,5.06112347221131e-08,"EC3","SETD7"
"PALMD1",1.794538391792e-12,0.341789315404246,0.557,0.464,6.10394288584132e-08,"EC3","PALMD"
"PLEC",2.00622457225557e-12,0.652391379459935,0.16,0.1,6.8239722600701e-08,"EC3","PLEC"
"NCOA11",2.13191235792785e-12,0.257752676136053,0.65,0.557,7.25148669425579e-08,"EC3","NCOA1"
"FLNA",2.48671909026785e-12,0.652454140611937,0.145,0.088,8.45832631363707e-08,"EC3","FLNA"
"HNRNPH1",2.51348861997515e-12,0.331936449396567,0.483,0.388,8.54938019198347e-08,"EC3","HNRNPH1"
"ASXL1",2.60107196176896e-12,0.399818631052357,0.445,0.358,8.84728617076094e-08,"EC3","ASXL1"
"CCNI",2.67238341833471e-12,0.470219316720431,0.276,0.197,9.08984495912369e-08,"EC3","CCNI"
"EPHB1",2.71677697720401e-12,0.880129575297942,0.074,0.036,9.24084521026173e-08,"EC3","EPHB1"
"TBC1D16",2.97260589392557e-12,0.737243202225838,0.136,0.082,1.01110216875984e-07,"EC3","TBC1D16"
"ABCG11",3.04418775322725e-12,0.489103152203705,0.315,0.234,1.03545002238272e-07,"EC3","ABCG1"
"MYO1D",3.15338405053293e-12,0.478772556971209,0.37,0.287,1.07259205094827e-07,"EC3","MYO1D"
"ADAM17",3.38470445548222e-12,0.448079003701793,0.349,0.267,1.15127337348772e-07,"EC3","ADAM17"
"NAIP",3.49965696957913e-12,0.74356857698076,0.165,0.105,1.19037332163265e-07,"EC3","NAIP"
"RNF217",3.64792190026657e-12,0.583947758017982,0.259,0.186,1.24080415515667e-07,"EC3","RNF217"
"ADAMTSL31",3.96085670933192e-12,0.490992372607341,0.285,0.206,1.34724580111216e-07,"EC3","ADAMTSL3"
"CLIC2",4.16721159460677e-12,0.803212487295381,0.145,0.09,1.41743535178955e-07,"EC3","CLIC2"
